KEYS;fr;de
TR_ARMES_ET_SERVICES_AUXILIAIRES;Insignes d'armes & de service auxiliaire;Truppengattungs- und Dienstzweigabzeichen
TR_TYPE;Type;Typ
TR_ARME_SERVICE_TYPE_COMMANDEMENT_DE_L_ARMEE;Commandement de l'Armée;Armeeführung
TR_ARME_SERVICE_TYPE_ARMES;Armes;Truppengattungen
TR_ARME_SERVICE_TYPE_SERVICES_AUXILIAIRES;Services auxiliaires;Dienstzweige
TR_ARME_SERVICE_TYPE_INSIGNES_PARTICULIERS;Insignes particuliers;Besondere Abzeichen
TR_ARME_SERVICE_AIDE_AU_COMMANDEMENT_NAME;Troupes d'aide au commandement;Führungsunterstützungstruppen
TR_ARME_SERVICE_ARTILLERIE_NAME;Artillerie;Artillerie
TR_ARME_SERVICE_AUMONERIE_CHRETIENNE_NAME;Aumônerie de l'armée, origine chrétienne;Armeeseelsorge, christlicher Hintergrund
TR_ARME_SERVICE_AUMONERIE_JUIVE_NAME;Aumônerie de l'armée, origine juive;Armeeseelsorge, jüdischer Hintergrund
TR_ARME_SERVICE_AUMONERIE_MUSULMANE_NAME;Aumônerie de l'armée, origine musulmane;Armeeseelsorge, muslimischer Hintergrund
TR_ARME_SERVICE_CROIX_ROUGE_NAME;Service de la Croix-Rouge;Rotkreuzdienst
TR_ARME_SERVICE_DCA_NAME;Troupes de défense contre avions;Fliegerabwehrtruppen
TR_ARME_SERVICE_DEFENSE_NBC_NAME;Troupes de défense ABC;ABC-Abwehrtruppen
TR_ARME_SERVICE_DISPONIBILITE_NAME;Service de la disponibilité;Bereitschaftsdienst
TR_ARME_SERVICE_ETAT_MAJOR_GENERAL_NAME;Service d'état-major général;Generalstabsdienst
TR_ARME_SERVICE_FANFARE_MILITAIRE_NAME;Fanfare militaire;Militärspiel
TR_ARME_SERVICE_FORCES_AERIENNES_NAME;Forces aériennes;Fliegertruppen
TR_ARME_SERVICE_FORCES_SPECIALES_NAME;Forces spéciales;Spezialkräfte
TR_ARME_SERVICE_GENIE_NAME;Troupes de génie;Genietruppen
TR_ARME_SERVICE_INFANTERIE_NAME;Infanterie;Infanterie
TR_ARME_SERVICE_JUSTICE_MILITAIRE_NAME;Justice militaire;Militärjustiz
TR_ARME_SERVICE_LOGISTIQUE_NAME;Troupes de la logistique;Logistiktruppen
TR_ARME_SERVICE_OFFICIERS_GENERAUX_NAME;Officiers généraux et commandant en chef de l'Armée;Höhere Stabsoffiziere und Oberbefehlshaber der Armee
TR_ARME_SERVICE_POLICE_MILITAIRE_NAME;Police militaire;Militärpolizei
TR_ARME_SERVICE_PSYCHOPEDAGOGIQUE_NAME;Service psychopédagogique;Psychologisch-Pädagogischer Dienst
TR_ARME_SERVICE_RENSEIGNEMENT_MILITAIRE_NAME;Service de renseignement militaire;Militärischer Nachrichtendienst
TR_ARME_SERVICE_SANITAIRES_NAME;Troupes sanitaires;Sanitätstruppen
TR_ARME_SERVICE_SAUVETAGE_NAME;Troupes de sauvetage;Rettungstruppen
TR_ARME_SERVICE_SERVICE_SOCIAL_NAME;Service social de l'armée;Sozialdienst der Armee
TR_ARME_SERVICE_SPORT_NAME;Sport;Sport
TR_ARME_SERVICE_TERRITORIAL_NAME;Service territorial;Territorialdienst
TR_ARME_SERVICE_TROUPES_BLINDEES_NAME;Troupes blindées;Panzertruppen
