KEYS;fr;de
TR_INCORPORATION;Incorporation;Einteilung
TR_BERET_ARTILLERIE_NAME;Béret rouge;Roter Baret
TR_BERET_ARTILLERIE_INCORPORATION;Artillerie;Artillerie
TR_BERET_FORCES_AERIENNES_NAME;Béret bleu foncé;Dunkelblaue Baret
TR_BERET_FORCES_AERIENNES_INCORPORATION;Forces aériennes;Luftwaffe
TR_BERET_FORCES_SPECIALES_NAME;Béret sable;Sandfarbener Baret
TR_BERET_FORCES_SPECIALES_INCORPORATION;Forces spéciales;Spezialkräfte
TR_BERET_INFANTERIE_NAME;Béret vert;Grüner Baret
TR_BERET_INFANTERIE_INCORPORATION;Infanterie;Infanterie
TR_BERET_LOGISTIQUE_NAME;Béret lie-de-vin;Weinroter Baret
TR_BERET_LOGISTIQUE_INCORPORATION;Logistique;Logistiktruppen
TR_BERET_NOIR_NAME;Béret noir;Schwarzer Baret
TR_BERET_NOIR_INCORPORATION;Troupes blindées\nTroupes du génie\nTroupes de sauvetage\nTroupes d'aide au commandement\nTroupes de défense ABC\nService de renseignement militaire\nService d'état major géneral\nJustice militaire\nAumônerie de l'armée\nService de la disponibilité\nService territorial\nService psychopédagogique\nService social de l'armée;Panzertruppen\nGenietruppen\nRettungstruppen\nFührungsunterstützungstruppen\nABC-Abwehrtruppen\nMilitärischer Nachrichtendienst\nGeneralstabsdienst\nMilitärjustiz\nArmeeseelsorge\nBereitschaftsdienst\nTerritorialdienst\nPsychologisch-Pädagogischer Dienst\nSozialdienst der Armee
TR_BERET_ONU_NAME;Béret bleu clair;Hellblaue Baret
TR_BERET_ONU_INCORPORATION;Bérets pour les engagements de l'ONU;Friedensförderungseinsatz
TR_BERET_POLICE_MILITAIRE_NAME;Béret gris;Grauer Baret
TR_BERET_POLICE_MILITAIRE_INCORPORATION;Police militaire;Militärpolizei
TR_BERET_SANITAIRE_NAME;Béret bleu roi;Königsblauer Baret
TR_BERET_SANITAIRE_INCORPORATION;Troupes sanitaires\nservice de la Croix-Rouge;Sanitätstruppen\nRotkreuzdienst
