KEYS;fr;de
TR_DISTINCTIONS_DESCRIPTION;Au maximum 9 rubans de distinction peuvent être portés au-dessus de la poche de poitrine gauche du veston de la tenue A.;Es dürfen höchstens 9 Auszeichnungsbänder über der linken Brusttasche der Jacke von Tenü A getragen werden.
TR_DISTINCTIONS_TYPE_SERVICE;Insigne de prestation de service;Dienstleistungsabzeichen
TR_DISTINCTIONS_TYPE_DISTINCTION;Insigne de distinction;Auszeichnungen
TR_DISTINCTIONS_TYPE_ENGAGEMENT;Insigne de mission;Einsatzabzeichen

TR_DISTINCTIONS_170_JOURS_NAME;170 jours;170 Tage
TR_DISTINCTIONS_250_JOURS_NAME;250 jours;250 Tage
TR_DISTINCTIONS_350_JOURS_NAME;350 jours;350 Tage
TR_DISTINCTIONS_450_JOURS_NAME;450 jours;450 Tage
TR_DISTINCTIONS_550_JOURS_NAME;550 jours;550 Tage
TR_DISTINCTIONS_650_JOURS_NAME;650 jours;650 Tage
TR_DISTINCTIONS_750_JOURS_NAME;750 jours;750 Tage
TR_DISTINCTIONS_850_JOURS_NAME;850 jours;850 Tage
TR_DISTINCTIONS_90_JOURS_NAME;90 jours;90 Tage
TR_DISTINCTIONS_950_JOURS_NAME;950 jours;950 Tage
TR_DISTINCTIONS_ACTIVITE_HORS_SERVICE_1_NAME;Activité hors du service degré 1;Ausserdienstliche Tätigkeit Stufe 1
TR_DISTINCTIONS_ACTIVITE_HORS_SERVICE_2_NAME;Activité hors du service degré 2;Ausserdienstliche Tätigkeit Stufe 2
TR_DISTINCTIONS_ACTIVITE_HORS_SERVICE_3_NAME;Activité hors du service degré 3;Ausserdienstliche Tätigkeit Stufe 3
TR_DISTINCTIONS_COMPETITION_SPORT_NAME;Compétition de sport militaire;Militärsportwettkampfauszeichnung
TR_DISTINCTIONS_DISTINCTION_D_ENGAGEMENT_NAME;Distinctions d'engagement;Inland-Einsätze
TR_DISTINCTIONS_FASS_1_NAME;Fusil d'assaut degré 1;Sturmgewehr Stufe 1
TR_DISTINCTIONS_FASS_2_NAME;Fusil d'assaut degré 2;Sturmgewehr Stufe 2
TR_DISTINCTIONS_MONTAGNE_NAME;Distinction de montagne;Gebirgsauszeichnung
TR_DISTINCTIONS_NAVIGATEUR_NAME;Navigateur;Wasserfahrer
TR_DISTINCTIONS_NBC_NAME;Aide à soi-même et aux camarades / défense NBC;Selbst- und Kameradenhilfe / ABC Abwehr
TR_DISTINCTIONS_PARTENARIAT_POUR_LA_PAIX_NAME;Partenariat pour la Paix (PPP);Partnerschaft für den Frieden (PfP)
TR_DISTINCTIONS_PISTOLET_1_NAME;Pistolet degré 1;Pistole Stufe 1
TR_DISTINCTIONS_PISTOLET_2_NAME;Pistolet degré 2;Pistole Stufe 2
TR_DISTINCTIONS_POINTEUR_NAME;Pointeur (arme);Richter
TR_DISTINCTIONS_PRESTATION_NAME;Prestation exceptionnelle;Ausserordentliche Leistung
TR_DISTINCTIONS_SERVICE_CROIX_ROUGE_NAME;Service Croix-Rouge;Rotkreuzdienst
TR_DISTINCTIONS_SERVICE_LONGUE_DUREE_ETRANGER_NAME;Service commandé de longue durée à l'étranger;Lange Auslandkommandierung
TR_DISTINCTIONS_SPORT_1_NAME;Sport militaire degré 1;Militärsport Stufe 1
TR_DISTINCTIONS_SPORT_2_NAME;Sport militaire degré 2;Militärsport Stufe 2

TR_DISTINCTIONS_170_JOURS_DESCRIPTION;Avec 1 rosette en bronze pour 170 jours de service;Mit 1 Rosette in Bronze für 170 Diensttage
TR_DISTINCTIONS_250_JOURS_DESCRIPTION;Avec 2 rosettes en bronze pour 250 jours de service;Mit 2 Rosetten in Bronze für 250 Diensttage
TR_DISTINCTIONS_350_JOURS_DESCRIPTION;Avec 3 rosettes en bronze pour 350 jours de service;Mit 3 Rosetten in Bronze für 350 Diensttage
TR_DISTINCTIONS_450_JOURS_DESCRIPTION;Avec 1 rosette en argent pour 450 jours de service;Mit 1 Rosette in Silber für 450 Diensttage
TR_DISTINCTIONS_550_JOURS_DESCRIPTION;Avec 2 rosettes en argent pour 550 jours de service;Mit 2 Rosetten in Silber für 550 Diensttage
TR_DISTINCTIONS_650_JOURS_DESCRIPTION;Avec 3 rosettes en argent pour 650 jours de service;Mit 3 Rosetten in Silber für 650 Diensttage
