KEYS;fr;de


TR_EPAULETTE_AIDE_AU_COMMANDEMENT_INCORPORATION;Troupes d'aide au commandement;Führungsunterstützungstruppen
TR_EPAULETTE_ARTILLERIE_INCORPORATION;Artillerie;Artillerie
TR_EPAULETTE_FORCES_AERIENNES_INCORPORATION;Forces aériennes;Luftwaffe
TR_EPAULETTE_FORCES_SPECIALES_INCORPORATION;Forces spéciales;Spezialkräfte
TR_EPAULETTE_INFANTERIE_INCORPORATION;Infanterie;Infanterie
TR_EPAULETTE_JUSTICE_MILITAIRE_INCORPORATION;Justice militaire;Militärjustiz
TR_EPAULETTE_LOGISTIQUE_INCORPORATION;Troupes de la logistique;Logistiktruppen
TR_EPAULETTE_NBC_INCORPORATION;Troupes de défense ABC;ABC-Abwehrtruppen
TR_EPAULETTE_NOIR_INCORPORATION;Général et officiers généraux\nOfficiers d'état major général\nTroupes du génie\nService du renseignement\nMilitaire de l'aumônerie de l'armée\nService de la disponibilité\nSport\nService psychopédagogique\nService social de l'armée;General und höhere Stabsoffiziere\nGeneralstabsoffiziere\nGenietruppen\nNachrichtendienst\nAngehörige der Armeeseelsorge\nBereitschaftsdienst\nSport\nPsychologisch-Pädagogischer Dienst\nSozialdienst der Armee
TR_EPAULETTE_ONU_INCORPORATION;Engagement de promotion de la paix;Friedensförderungseinsatz
TR_EPAULETTE_POLICE_MILITAIRE_INCORPORATION;Police militaire;Militärpolizei
TR_EPAULETTE_SANITAIRE_INCORPORATION;Troupes sanitaires\nService de la Croix-Rouge;Sanitätstruppen\nRotkreuzdienst
TR_EPAULETTE_SAUVETAGE_INCORPORATION;Troupes de sauvetage;Rettungstruppen
TR_EPAULETTE_TERRITORIAL_INCORPORATION;Service territorial;Territorialdienst
TR_EPAULETTE_TROUPES_BLINDEES_INCORPORATION;Troupes blindées;Panzertruppen


TR_EPAULETTE_AIDE_AU_COMMANDEMENT_NAME;Épaulette grise claire;Hellgraue Epaulette
TR_EPAULETTE_ARTILLERIE_NAME;Épaulette rouge;Rote Epaulette
TR_EPAULETTE_FORCES_AERIENNES_NAME;Épaulette bleu foncé;Dunkelblaue Epaulette
TR_EPAULETTE_FORCES_SPECIALES_NAME;Épaulette sable;Sandfarbene Epaulette
TR_EPAULETTE_INFANTERIE_NAME;Épaulette verte;Grüne Epaulette
TR_EPAULETTE_JUSTICE_MILITAIRE_NAME;Épaulette violette;Violette Epaulette
TR_EPAULETTE_LOGISTIQUE_NAME;Épaulette lie-de-vin;Weinrote Epaulette
TR_EPAULETTE_NBC_NAME;Épaulette dorée;Goldene Epaulette
TR_EPAULETTE_NOIR_NAME;Épaulette noire;Schwarze Epaulette
TR_EPAULETTE_ONU_NAME;Épaulette bleu claire;Hellblaue Epaulette
TR_EPAULETTE_POLICE_MILITAIRE_NAME;Épaulette grise;Graue Epaulette
TR_EPAULETTE_SANITAIRE_NAME;Épaulette bleu roi;Königsblaue Epaulette
TR_EPAULETTE_SAUVETAGE_NAME;Épaulette rouge;Rote Epaulette
TR_EPAULETTE_TERRITORIAL_NAME;Épaulette orange;Orangene Epaulette
TR_EPAULETTE_TROUPES_BLINDEES_NAME;Épaulette jaune;Gelbe Epaulette
